length_mm,date,migration_timing,day_of_year,month,day,tissue type,Identifier 2,percent_n,percent_c,d15N,d13C
125,5/10/12,during Salmonid migration,131,5,10,fin,northern pike minnow,5.0378314,20.9935473,17.445,-25.549
170,5/10/12,during Salmonid migration,131,5,10,fin,northern pike minnow,5.4603321,21.982645,15.851,-20.033
190,5/10/12,during Salmonid migration,131,5,10,fin,northern pike minnow,5.7958959,24.9187054,16.189,-19.379
220,5/10/12,during Salmonid migration,131,5,10,fin,northern pike minnow,6.5316317,27.5182639,15.176,-20.944
190,5/13/12,during Salmonid migration,134,5,13,fin,northern pike minnow,5.6218662,21.9553749,16.463,-19.185
230,5/13/12,during Salmonid migration,134,5,13,fin,northern pike minnow,4.6388839,17.849587,15.911,-18.968
210,5/14/12,during Salmonid migration,135,5,14,fin,northern pike minnow,4.9912218,18.6871438,11.415,-24.946
220,5/14/12,during Salmonid migration,135,5,14,fin,northern pike minnow,5.0938932,19.4597567,14.964,-19.838
230,5/14/12,during Salmonid migration,135,5,14,fin,northern pike minnow,5.5124074,21.4624942,13.045,-27.284
260,5/14/12,during Salmonid migration,135,5,14,fin,northern pike minnow,6.9098078,28.0647918,16.088,-20.232
510,5/15/12,during Salmonid migration,136,5,15,fin,northern pike minnow,7.2295162,29.3034832,15.417,-25.609
190,5/30/12,during Salmonid migration,151,5,30,fin,northern pike minnow,5.0148613,18.4811074,14.998,-19.703
210,5/30/12,during Salmonid migration,151,5,30,fin,northern pike minnow,5.2417451,20.9932537,15.196,-22.852
210,5/30/12,during Salmonid migration,151,5,30,fin,northern pike minnow,5.119717,20.4408133,14.007,-24.86
250,5/30/12,during Salmonid migration,151,5,30,fin,northern pike minnow,5.3534688,20.9161691,14.544,-21.568
430,5/30/12,during Salmonid migration,151,5,30,fin,northern pike minnow,4.2522437,19.8061765,14.644,-23.821
430,5/30/12,during Salmonid migration,151,5,30,fin,northern pike minnow,4.8569317,17.4734426,14.699,-23.605
215,6/12/12,during Salmonid migration,164,6,12,fin,northern pike minnow,5.4538245,20.8635522,15.332,-22.968
