Identifier 1,date,day,month,tissue type,Identifier 2,fl_mm,percent_n,percent_c,d15N,d13C
PRD220_10/12_WAL_240M_488FIN,10/12/12,12,10,fin,Walleye,240,6.6699677,26.8125797,14.237,-23.703
PRD91_3/25_WAL_240M_B93FIN,3/25/12,25,3,fin,Walleye,240,7.3116811,28.2812832,15.513,-24.24
PRD125_7/7_WAL_250M_408FIN,7/7/12,7,7,fin,Walleye,250,5.8197472,20.0143763,15.435,-23.33
PRD221_10/12_WAL_280M_487FIN,10/12/12,12,10,fin,Walleye,280,4.9245052,19.2878074,13.684,-25.374
PRD96_3/25_WAL_310M_B98FIN,3/25/12,25,3,fin,Walleye,310,6.3400001,23.9082349,15.767,-27.641
PRD116_7/7_WAL_335M_B280FIN,7/7/12,7,7,fin,Walleye,335,5.5723106,19.3557974,14.93,-23.546
PRD206_9/9_WAL_350M_473FIN,9/9/12,9,9,fin,Walleye,350,5.2394886,18.0252402,14.926,-24.527
PRD113_7/7_WAL_360M_B277FIN,7/7/12,7,7,fin,Walleye,360,7.7833769,28.5139434,15.918,-25.939
PRD113_7/7_WAL_360M_B277FIN,7/7/12,7,7,fin,Walleye,360,6.850212,24.7767608,15.742,-25.838
PRD129_7/7_WAL_370M_412FIN,7/7/12,7,7,fin,Walleye,370,5.929202,21.7485596,15.317,-26.555
PRD130_7/7_WAL_370M_413FIN,7/7/12,7,7,fin,Walleye,370,6.3287485,23.5270644,15.305,-26.663
PRD74_3/25_WAL_375M_B76FIN,3/25/12,25,3,fin,Walleye,375,8.2382445,32.6713264,15.746,-24.817
PRD53_3/24_WAL_380M_B55FIN,3/24/12,24,3,fin,Walleye,380,8.0137752,30.5434438,15.858,-26.333
PRD78_3/25_WAL_380M_B80FIN,3/25/12,25,3,fin,Walleye,380,7.234037,28.6348553,15.417,-28.109
PRD85_3/25_WAL_380M_B87FIN,3/25/12,25,3,fin,Walleye,380,8.1522043,32.3851723,15.86,-25.445
PRD67_3/24_WAL_385M_B69FIN,3/24/12,24,3,fin,Walleye,385,8.2169621,32.4012409,15.64,-27.919
PRD150_9/8_WAL_410M_417FIN,9/8/12,8,9,fin,Walleye,410,5.9827322,20.6682837,14.976,-25.951
PRD160_9/8_WAL_410M_427FIN,9/8/12,8,9,fin,Walleye,410,6.4974486,21.0391985,15.061,-25.496
PRD201_9/9_WAL_410M_468FIN,9/9/12,9,9,fin,Walleye,410,6.8276326,23.6632311,14.746,-26.567
PRD203_9/9_WAL_410M_470FIN,9/9/12,9,9,fin,Walleye,410,5.6477508,19.3397211,15.045,-23.886
PRD213_9/9_WAL_410M_480FIN,9/9/12,9,9,fin,Walleye,410,7.5809347,26.164369,14.943,-21.932
PRD35_3/24_WAL_410M_B37FIN,3/24/12,24,3,fin,Walleye,410,8.4300157,32.3828805,16.126,-28.645
PRD42_3/24_WAL_410M_B44FIN,3/24/12,24,3,fin,Walleye,410,8.2819224,30.8589888,16.205,-28.67
PRD57_3/24_WAL_410M_B59FIN,3/24/12,24,3,fin,Walleye,410,9.1891385,35.663165,16.241,-27.988
PRD62_3/24_WAL_410M_B64FIN,3/24/12,24,3,fin,Walleye,410,7.9044754,31.6289604,15.463,-29.147
PRD73_3/25_WAL_415M_B75FIN,3/25/12,25,3,fin,Walleye,415,8.5488856,32.729389,15.088,-28.622
PRD103_3/25_WAL_420M_B105FIN,3/25/12,25,3,fin,Walleye,420,7.3767776,28.9974538,16.071,-28.246
PRD104_3/25_WAL_420M_B106FIN,3/25/12,25,3,fin,Walleye,420,9.372161,36.8309707,15.822,-28.968
PRD104_3/25_WAL_420M_B106FIN,3/25/12,25,3,fin,Walleye,420,8.7380976,34.1851322,15.771,-28.859
PRD127_7/7_WAL_420M_410FIN,7/7/12,7,7,fin,Walleye,420,6.0723821,21.5302296,15.564,-26.414
PRD158_9/8_WAL_420M_425FIN,9/8/12,8,9,fin,Walleye,420,6.1721602,20.7092009,15.793,-23.929
PRD191_9/9_WAL_420M_458FIN,9/9/12,9,9,fin,Walleye,420,7.4440058,26.3956093,15.395,-25.912
PRD66_3/24_WAL_420M_B68FIN,3/24/12,24,3,fin,Walleye,420,7.8036075,30.3180785,15.748,-28.617
PRD105_3/25_WAL_425M_B107FIN,3/25/12,25,3,fin,Walleye,425,8.9462108,34.0145955,16.151,-27.705
PRD146_7/8_WAL_425F_B124FIN,7/8/12,8,7,fin,Walleye,425,5.8940784,20.8257228,15.575,-26.202
PRD3_3/10_WAL_425M_6FIN,3/10/12,10,3,fin,Walleye,425,9.4794532,35.3406832,16.949,-27.647
PRD31_3/24_WAL_425M_B33FIN,3/24/12,24,3,fin,Walleye,425,6.3596206,23.6921385,15.694,-27.012
PRD5_3/10_WAL_429M_4FIN,3/10/12,10,3,fin,Walleye,429,9.6429832,35.3449494,15.632,-28.666
PRD100_3/25_WAL_430M_B102FIN,3/25/12,25,3,fin,Walleye,430,9.8562649,38.4071305,16.782,-28.608
PRD102_3/25_WAL_430M_B104FIN,3/25/12,25,3,fin,Walleye,430,8.785703,32.4664456,16.186,-27.604
PRD124_7/7_WAL_430M_B288FIN,7/7/12,7,7,fin,Walleye,430,6.0993328,21.0341035,15.211,-25.89
PRD131_7/8_WAL_430M_B109FIN,7/8/12,8,7,fin,Walleye,430,5.4450657,18.6979973,15.135,-26.378
PRD133_7/8_WAL_430M_B111FIN,7/8/12,8,7,fin,Walleye,430,5.3210524,21.6396229,15.427,-26.076
PRD133_7/8_WAL_430M_B111FIN,7/8/12,8,7,fin,Walleye,430,6.3464686,17.3892861,15.483,-25.68
PRD171_9/8_WAL_430M_438FIN,9/8/12,8,9,fin,Walleye,430,6.322799,22.351444,14.556,-25.076
PRD172_9/8_WAL_430M_439FIN,9/8/12,8,9,fin,Walleye,430,6.5221697,21.8456218,15.517,-24.585
PRD180_9/8_WAL_430M_447FIN,9/8/12,8,9,fin,Walleye,430,5.9058573,20.2391202,15.035,-25.997
PRD29_3/24_WAL_430M_B31FIN,3/24/12,24,3,fin,Walleye,430,8.2422329,31.280767,16.148,-27.805
PRD32_3/24_WAL_430M_B34FIN,3/24/12,24,3,fin,Walleye,430,6.8179919,28.119458,16.517,-27.801
PRD32_3/24_WAL_430M_B34FIN,3/24/12,24,3,fin,Walleye,430,7.2308506,25.913699,16.832,-27.553
PRD54_3/24_WAL_430M_B56FIN,3/24/12,24,3,fin,Walleye,430,10.2933455,41.4635796,14.921,-27.247
PRD63_3/24_WAL_430M_B65FIN,3/24/12,24,3,fin,Walleye,430,8.5665636,34.5888375,16.247,-24.517
PRD69_3/24_WAL_430M_B71FIN,3/24/12,24,3,fin,Walleye,430,8.1261959,31.7114562,16.721,-27.597
PRD70_3/25_WAL_430M_B72FIN,3/25/12,25,3,fin,Walleye,430,6.6057907,25.7085371,15.944,-27.404
PRD90_3/25_WAL_430M_B92FIN,3/25/12,25,3,fin,Walleye,430,8.934474,36.0365314,17.342,-26.721
PRD4_3/10_WAL_431M_10FIN,3/10/12,10,3,fin,Walleye,431,9.7969815,34.2632802,16.596,-27.794
PRD12_3/24_WAL_435M_B14FIN,3/24/12,24,3,fin,Walleye,435,8.6963396,33.7570623,16.054,-28.181
PRD12_3/24_WAL_435M_B14FIN,3/24/12,24,3,fin,Walleye,435,7.7045924,29.6512902,16.008,-27.744
PRD122_7/7_WAL_435M_B286FIN,7/7/12,7,7,fin,Walleye,435,5.5068831,18.9301093,15.62,-25.988
PRD122_7/7_WAL_435M_B286FIN,7/7/12,7,7,fin,Walleye,435,5.4394196,19.0566668,15.653,-25.95
PRD16_3/24_WAL_435M_B18FIN,3/24/12,24,3,fin,Walleye,435,7.6900881,29.2755427,15.769,-27.946
PRD19_3/24_WAL_435M_B21FIN,3/24/12,24,3,fin,Walleye,435,8.4600979,32.1899912,15.792,-28.48
PRD218_9/9_WAL_435M_485FIN,9/9/12,9,9,fin,Walleye,435,6.2195191,21.4592531,15.403,-24.245
PRD55_3/24_WAL_435M_B57FIN,3/24/12,24,3,fin,Walleye,435,7.4305042,29.1315098,15.462,-26.404
PRD56_3/24_WAL_435M_B58FIN,3/24/12,24,3,fin,Walleye,435,9.4403925,37.2569015,16.322,-27.69
PRD10_3/24_WAL_440M_B12FIN,3/24/12,24,3,fin,Walleye,440,7.9813804,30.4246976,14.99,-26.821
PRD11_3/24_WAL_440M_B13FIN,3/24/12,24,3,fin,Walleye,440,7.086702,26.749623,15.502,-27.277
PRD128_7/7_WAL_440M_411FIN,7/7/12,7,7,fin,Walleye,440,6.1539517,21.3835442,15.613,-25.235
PRD165_9/8_WAL_440M_432FIN,9/8/12,8,9,fin,Walleye,440,6.502315,20.6873946,14.8,-24.156
PRD170_9/8_WAL_440M_437FIN,9/8/12,8,9,fin,Walleye,440,6.2319993,20.9761431,15.11,-26.045
PRD30_3/24_WAL_440M_B32FIN,3/24/12,24,3,fin,Walleye,440,9.415918,36.4474832,16.243,-28.713
PRD33_3/24_WAL_440M_B35FIN,3/24/12,24,3,fin,Walleye,440,8.4976575,32.3088565,16.432,-27.456
PRD38_3/24_WAL_440M_B40FIN,3/24/12,24,3,fin,Walleye,440,7.2176695,27.0663134,16.342,-26.49
PRD39_3/24_WAL_440M_B41FIN,3/24/12,24,3,fin,Walleye,440,7.0608766,26.5294155,15.218,-27.646
PRD58_3/24_WAL_440M_B60FIN,3/24/12,24,3,fin,Walleye,440,7.9248417,31.3384299,15.354,-28.878
PRD65_3/24_WAL_440M_B67FIN,3/24/12,24,3,fin,Walleye,440,7.1479429,28.4619599,15.598,-27.823
PRD77_3/25_WAL_440M_B79FIN,3/25/12,25,3,fin,Walleye,440,7.0618736,30.4737147,15.803,-28.623
PRD77_3/25_WAL_440M_B79FIN,3/25/12,25,3,fin,Walleye,440,7.8997809,26.7380046,15.963,-28.186
PRD79_3/25_WAL_440M_B81FIN,3/25/12,25,3,fin,Walleye,440,7.5491647,29.0216441,16.213,-26.733
PRD84_3/25_WAL_440M_B86FIN,3/25/12,25,3,fin,Walleye,440,7.513441,28.7899625,15.748,-27.925
PRD98_3/25_WAL_440M_B100FIN,3/25/12,25,3,fin,Walleye,440,6.8302965,24.3475813,14.276,-26.798
PRD177_9/8_WAL_445M_444FIN,9/8/12,8,9,fin,Walleye,445,6.6313277,26.3334047,15.414,-27.649
PRD177_9/8_WAL_445M_444FIN,9/8/12,8,9,fin,Walleye,445,7.0283544,24.7021726,15.198,-27.474
PRD18_3/24_WAL_445M_B20FIN,3/24/12,24,3,fin,Walleye,445,7.1564312,26.7868548,15.489,-25.904
PRD59_3/24_WAL_445M_B61FIN,3/24/12,24,3,fin,Walleye,445,7.7477289,32.1329718,15.569,-28.005
PRD59_3/24_WAL_445M_B61FIN,3/24/12,24,3,fin,Walleye,445,6.6883566,25.9431652,15.513,-27.136
PRD99_3/25_WAL_445M_B101FIN,3/25/12,25,3,fin,Walleye,445,7.1845995,28.7222758,15.45,-28.301
PRD101_3/25_WAL_450M_B103FIN,3/25/12,25,3,fin,Walleye,450,8.9094102,34.6069856,16.544,-27.045
PRD106_3/25_WAL_450M_B108FIN,3/25/12,25,3,fin,Walleye,450,6.5831192,25.5781087,15.69,-27.918
PRD145_7/8_WAL_450M_B123FIN,7/8/12,8,7,fin,Walleye,450,6.0424106,21.4706796,15.844,-26.832
PRD15_3/24_WAL_450M_B17FIN,3/24/12,24,3,fin,Walleye,450,8.3698409,31.3288099,16.474,-27.596
PRD176_9/8_WAL_450M_443FIN,9/8/12,8,9,fin,Walleye,450,6.5435509,21.3423062,14.888,-26.36
PRD183_9/8_WAL_450M_450FIN,9/8/12,8,9,fin,Walleye,450,6.0644297,21.0433773,15.049,-24.636
PRD22_3/24_WAL_450M_B24FIN,3/24/12,24,3,fin,Walleye,450,8.7895806,35.0680066,16.181,-27.35
PRD22_3/24_WAL_450M_B24FIN,3/24/12,24,3,fin,Walleye,450,9.0072284,34.1136642,16.051,-27.333
PRD25_3/24_WAL_450M_B27FIN,3/24/12,24,3,fin,Walleye,450,8.6276136,33.5453782,16.868,-27.363
PRD28_3/24_WAL_450M_B30FIN,3/24/12,24,3,fin,Walleye,450,8.9071872,34.5561448,15.689,-29.283
PRD9_3/24_WAL_450M_B11FIN,3/24/12,24,3,fin,Walleye,450,7.4987844,28.4097506,15.735,-27.057
PRD136_7/8_WAL_460M_B114FIN,7/8/12,8,7,fin,Walleye,460,6.1081992,21.7362383,15.499,-25.747
PRD137_7/8_WAL_460M_B115FIN,7/8/12,8,7,fin,Walleye,460,5.3549212,18.3439341,15.869,-23.25
PRD14_3/24_WAL_460X_B16FIN,3/24/12,24,3,fin,Walleye,460,8.5333648,31.9675219,15.895,-27.309
PRD162_9/8_WAL_460M_429FIN,9/8/12,8,9,fin,Walleye,460,6.1328201,20.8999863,15.889,-24.404
PRD167_9/8_WAL_460M_434FIN,9/8/12,8,9,fin,Walleye,460,6.6878139,21.2903368,15.194,-24.347
PRD174_9/8_WAL_460M_441FIN,9/8/12,8,9,fin,Walleye,460,6.6222305,21.2826696,14.857,-24.043
PRD186_9/9_WAL_460M_453FIN,9/9/12,9,9,fin,Walleye,460,5.7699291,19.6598379,15.334,-26.075
PRD2_3/10_WAL_460M_18FIN,3/10/12,10,3,fin,Walleye,460,6.6316348,23.014003,15.912,-27.131
PRD200_9/9_WAL_460M_467FIN,9/9/12,9,9,fin,Walleye,460,5.7106392,18.8288478,15.579,-24.857
PRD212_9/9_WAL_460M_479FIN,9/9/12,9,9,fin,Walleye,460,6.8736398,23.1700989,15.495,-25.314
PRD26_3/24_WAL_460M_B28FIN,3/24/12,24,3,fin,Walleye,460,10.5537766,40.6680364,16.234,-29.203
PRD34_3/24_WAL_460M_B36FIN,3/24/12,24,3,fin,Walleye,460,9.3842523,36.0434993,16.756,-27.373
PRD36_3/24_WAL_460M_B38FIN,3/24/12,24,3,fin,Walleye,460,7.761606,29.1315238,15.924,-28.706
PRD61_3/24_WAL_460M_B63FIN,3/24/12,24,3,fin,Walleye,460,8.6459939,34.2813702,15.499,-26.546
PRD81_3/25_WAL_460M_B83FIN,3/25/12,25,3,fin,Walleye,460,7.1212863,27.8884509,15.666,-26.893
PRD92_3/25_WAL_460M_B94FIN,3/25/12,25,3,fin,Walleye,460,7.5873152,27.9412956,15.256,-28.17
PRD97_3/25_WAL_460M_B99FIN,3/25/12,25,3,fin,Walleye,460,7.3466508,28.4228452,15.65,-27.928
PRD120_7/7_WAL_465M_B284FIN,7/7/12,7,7,fin,Walleye,465,5.224976,17.7073358,15.918,-25.111
PRD126_7/7_WAL_465M_409FIN,7/7/12,7,7,fin,Walleye,465,5.6870565,20.1585188,15.668,-26.622
PRD6_3/10_WAL_465M_12FIN,3/10/12,10,3,fin,Walleye,465,10.3910835,34.3022632,16.03,-28.058
PRD68_3/24_WAL_465M_B70FIN,3/24/12,24,3,fin,Walleye,465,8.1813822,32.2905392,15.641,-29.139
PRD68_3/24_WAL_465M_B70FIN,3/24/12,24,3,fin,Walleye,465,8.6338331,34.5488866,15.539,-29.067
