Identifier 1,date,month,day,tissue type,Identifier.2,salmonid,percent_n,percent_c,d15N,d13C
PRY_125_7/28_TSS_0_0FIN,5/4/00,5,4,fin,3 Spine Stickleback,non salmonid,7.3727935,28.4614848,12.505,-25.315
PRY125_7/28_TSS_0_0FIN,7/28/12,7,28,fin,3 Spine Stickleback,non salmonid,11.4988725,44.3321871,12.746,-25.099
PRY156_8/16_TSS_350_0FIN,8/16/12,8,16,fin,3 Spine Stickleback,non salmonid,11.8160049,44.3764161,19.477,-29.986
PRY156_8_16_TSS_350_0FIN,1/8/00,1,8,fin,3 Spine Stickleback,non salmonid,6.4190287,23.4834761,18.281,-29.322
PRY157_6/20_TSS_300_0FIN,6/20/12,6,20,fin,3 Spine Stickleback,non salmonid,6.0386359,45.7624372,12.606,-31.606
PRY157_6/20_TSS_300_0FIN,6/20/12,6,20,fin,3 Spine Stickleback,non salmonid,12.04949,23.475353,12.708,-29.39
PRY158_5/21_TSS_520_0FIN,5/21/12,5,21,fin,3 Spine Stickleback,non salmonid,6.9633098,44.0686745,15.232,-23.81
PRY158_5/21_TSS_520_0FIN,5/21/12,5,21,fin,3 Spine Stickleback,non salmonid,11.8277167,26.9231132,14.497,-22.916
PRY159_6/28_TSS_420_0FIN,6/28/12,6,28,fin,3 Spine Stickleback,non salmonid,7.0463254,43.9542355,14.7,-28.966
PRY159_6/28_TSS_420_0FIN,6/28/12,6,28,fin,3 Spine Stickleback,non salmonid,11.7991209,24.8571929,13.953,-27.602
PRY160_6/10_TSS_500_0FIN,6/10/12,6,10,fin,3 Spine Stickleback,non salmonid,7.2043824,43.5750518,13.913,-24.853
PRY160_6/10_TSS_500_0FIN,6/10/12,6,10,fin,3 Spine Stickleback,non salmonid,11.7690236,28.4427741,13.872,-23.916
PRY167_9/14_SHA_750_232FIN,9/14/12,9,14,fin,American Shad,non salmonid,5.022717,19.3866627,11.137,-26.391
PRY168_9/14_SHA_650_233FIN,9/14/12,9,14,fin,American Shad,non salmonid,4.8135417,18.1083445,11.127,-25.54
PRY169_9/14_SHA_700_234FIN,9/14/12,9,14,fin,American Shad,non salmonid,4.4514248,17.3883341,10.865,-24.808
PRY170_9/14_SHA_700_235FIN,9/14/12,9,14,fin,American Shad,non salmonid,4.9220579,18.8956297,11.159,-25.882
PRY170_9/14_SHA_700_235FIN,9/14/12,9,14,fin,American Shad,non salmonid,4.4949189,16.4881743,10.862,-24.58
PRY171_9/14_SHA_720_236FIN,9/14/12,9,14,fin,American Shad,non salmonid,4.4336622,16.4732684,10.771,-22.55
PRY172_9/14_SHA_550_237FIN,9/14/12,9,14,fin,American Shad,non salmonid,4.3149952,17.5192091,10.209,-25.275
PRY163_6/8_CAT_1800_218FIN,6/8/12,6,8,fin,Catfish,non salmonid,6.6834437,29.0052699,14.104,-28.86
PRY134_5/22_CHI_1650_169FIN,5/22/12,5,22,fin,Chiselmouth,non salmonid,4.7276743,18.4407762,12.576,-24.45
PRY135_5/22_CHI_1550_170FIN,5/22/12,5,22,fin,Chiselmouth,non salmonid,4.2679712,17.1889015,11.98,-18.496
PRY69_5/10_CHI_2000_225FIN,5/10/12,5,10,fin,Chiselmouth,non salmonid,5.5214351,22.5510935,12.548,-26.06
PRY70_5/10_CHI_2050_224FIN,5/10/12,5,10,fin,Chiselmouth,non salmonid,6.6143186,26.5235575,15.178,-22.305
PRY99_5/23_SOCC_1300_B252FIN,5/23/12,5,23,fin,Hatchery sockeye,salmonid,7.2529525,26.3124613,12.984,-25.217
PRY101_5/23_STEH_1950_195FIN,5/23/12,5,23,fin,Hatchery steelhead,salmonid,8.1833459,28.9571743,13.448,-20.745
PRY107_5/23_STEH_2300_B254FIN,5/23/12,5,23,fin,Hatchery steelhead,salmonid,9.2468084,33.3304829,12.772,-21.589
PRY108_5/23_STEH_2200_B255FIN,5/23/12,5,23,fin,Hatchery steelhead,salmonid,9.0748196,33.3868934,12.307,-22.131
PRY109_5/23_STEH_2600_B256FIN,5/23/12,5,23,fin,Hatchery steelhead,salmonid,9.0548056,33.5129642,13.184,-22.013
PRY14_5/9_STEH_2100_B168FIN,5/9/12,5,9,fin,Hatchery steelhead,salmonid,9.8287309,35.6712726,13.303,-21.919
PRY22_5/9_STEH_2220_B177FIN,5/9/12,5,9,fin,Hatchery steelhead,salmonid,9.1396307,32.8159007,14.304,-21.103
PRY23_5/9_STEH_2400_B178FIN,5/9/12,5,9,fin,Hatchery steelhead,salmonid,8.3589546,33.7321125,12.897,-21.869
PRY23_5/9_STEH_2400_B178FIN,5/9/12,5,9,fin,Hatchery steelhead,salmonid,9.3118801,29.1002487,13.219,-21.293
PRY25_5/9_STEH_2100_B180FIN,5/9/12,5,9,fin,Hatchery steelhead,salmonid,9.4114038,34.0777632,13.23,-22.898
PRY26_5/9_STEH_2200_B181FIN,5/9/12,5,9,fin,Hatchery steelhead,salmonid,10.2126493,37.9087623,13.819,-21.974
PRY36_5/9_STEH_2400_B190FIN,5/9/12,5,9,fin,Hatchery steelhead,salmonid,9.3216867,36.2859307,13.603,-23.421
PRY41_5/9_STEH_2200_B194FIN,5/9/12,5,9,fin,Hatchery steelhead,salmonid,9.5654222,35.2977888,12.921,-21.659
PRY73_5/23_STEH_2200_B226FIN,5/23/12,5,23,fin,Hatchery steelhead,salmonid,8.6833588,31.8626822,10.66,-24.674
PRY96_5/23_STEH_2600_B249FIN,5/23/12,5,23,fin,Hatchery steelhead,salmonid,9.7317056,37.4126574,13.348,-22.234
PRY111_6/14_CLIS_1300_B264FIN,6/14/12,6,14,fin,Hatchery subyearling,salmonid,7.8162267,28.2240355,13.801,-28.498
PRY111_6/14_CLIS_1300_B264FIN,6/14/12,6,14,fin,Hatchery subyearling,salmonid,7.6386349,29.5683093,13.758,-28.354
PRY112_6/14_CLIS_1100_B265FIN,6/14/12,6,14,fin,Hatchery subyearling,salmonid,6.9961736,24.9627605,12.161,-28.511
PRY117_6/14_CLIS_1300_B270FIN,6/14/12,6,14,fin,Hatchery subyearling,salmonid,7.698397,29.2181799,12.186,-27.796
PRY118_6/14_CLIS_1550_B271FIN,6/14/12,6,14,fin,Hatchery subyearling,salmonid,6.83172,24.9267746,15.085,-23.247
PRY119_6/14_CLIS_1100_B272FIN,6/14/12,6,14,fin,Hatchery subyearling,salmonid,6.6963663,24.5588675,11.741,-27.916
PRY121_7/28_CLIS_1100_B125FIN,7/28/12,7,28,fin,Hatchery subyearling,salmonid,7.4067368,27.8285671,12.812,-26.283
