length_mm,size_grouping,date,day_of_year,migration_timing,month,day,tissue type,Identifier 2,percent_n,percent_c,d15N,d13C
240,below 500mm,3/25/12,85,before Salmonid migration,3,25,fin,Walleye,7.3116811,28.2812832,15.513,-24.24
240,below 500mm,10/12/12,286,after Salmonid migration,10,12,fin,Walleye,6.6699677,26.8125797,14.237,-23.703
250,below 500mm,7/7/12,189,during Salmonid migration,7,7,fin,Walleye,5.8197472,20.0143763,15.435,-23.33
280,below 500mm,10/12/12,286,after Salmonid migration,10,12,fin,Walleye,4.9245052,19.2878074,13.684,-25.374
310,below 500mm,3/25/12,85,before Salmonid migration,3,25,fin,Walleye,6.3400001,23.9082349,15.767,-27.641
335,below 500mm,7/7/12,189,during Salmonid migration,7,7,fin,Walleye,5.5723106,19.3557974,14.93,-23.546
350,below 500mm,9/9/12,253,after Salmonid migration,9,9,fin,Walleye,5.2394886,18.0252402,14.926,-24.527
360,below 500mm,7/7/12,189,during Salmonid migration,7,7,fin,Walleye,7.7833769,28.5139434,15.918,-25.939
360,below 500mm,7/7/12,189,during Salmonid migration,7,7,fin,Walleye,6.850212,24.7767608,15.742,-25.838
370,below 500mm,7/7/12,189,during Salmonid migration,7,7,fin,Walleye,5.929202,21.7485596,15.317,-26.555
370,below 500mm,7/7/12,189,during Salmonid migration,7,7,fin,Walleye,6.3287485,23.5270644,15.305,-26.663
375,below 500mm,3/25/12,85,before Salmonid migration,3,25,fin,Walleye,8.2382445,32.6713264,15.746,-24.817
380,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,8.0137752,30.5434438,15.858,-26.333
380,below 500mm,3/25/12,85,before Salmonid migration,3,25,fin,Walleye,7.234037,28.6348553,15.417,-28.109
380,below 500mm,3/25/12,85,before Salmonid migration,3,25,fin,Walleye,8.1522043,32.3851723,15.86,-25.445
385,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,8.2169621,32.4012409,15.64,-27.919
410,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,8.4300157,32.3828805,16.126,-28.645
410,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,8.2819224,30.8589888,16.205,-28.67
410,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,9.1891385,35.663165,16.241,-27.988
410,below 500mm,3/24/12,84,before Salmonid migration,3,24,fin,Walleye,7.9044754,31.6289604,15.463,-29.147
